TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"682482","YuGiOh","2010 Collectors Tins","The Wicked Avatar","","CT07-EN023","Super Rare","Near Mint Limited","0.67","","1.4200","0.4300","0","0","2.9900",""
"682474","YuGiOh","2010 Collectors Tins","The Wicked Dreadroot","","CT07-EN015","Super Rare","Near Mint Limited","0.71","","1.7300","0.7400","0","0","5.0000",""
"682470","YuGiOh","2010 Collectors Tins","The Wicked Eraser","","CT07-EN011","Super Rare","Near Mint Limited","0.56","","1.3200","0.3300","0","0","2.4900",""
"682466","YuGiOh","2010 Collectors Tins","Van'Dalgyon The Dark Dragon Lord","","CT07-EN007","Super Rare","Near Mint Limited","0.38","","1.2400","0.2500","0","0","0.7400",""
"734297","YuGiOh","2010 Duelist Pack Collection Tin","Junk Synchron","","DPCT-ENY01","Ultra Rare","Near Mint Limited","9.81","","12.0800","12.0800","0","0","3.4900",""
"734303","YuGiOh","2010 Duelist Pack Collection Tin","Level Eater","","DPCT-ENY07","Super Rare","Near Mint Limited","7.92","","7.9900","7.0000","0","0","3.9900",""
"734298","YuGiOh","2010 Duelist Pack Collection Tin","Quillbolt Hedgehog","","DPCT-ENY02","Super Rare","Near Mint Limited","1.20","","1.6400","0.6500","0","0","0.9900",""
"682485","YuGiOh","2010 Duelist Pack Collection Tin","Starlight Road","","DPCT-EN004","Secret Rare","Near Mint Limited","4.35","","4.6800","3.6900","0","0","3.9900",""
"734313","YuGiOh","2011 Collectors Tins","Archlord Kristya","","CT08-EN010","Super Rare","Near Mint Limited","2.89","","2.7400","1.7500","0","0","1.7400",""
"734307","YuGiOh","2011 Collectors Tins","Beast King Barbaros","","CT08-EN005","Super Rare","Near Mint Limited","0.47","","1.1700","0.1800","0","0","0.4900",""
"734308","YuGiOh","2011 Collectors Tins","Dark Simorgh","","CT08-EN006","Super Rare","Near Mint Limited","2.25","","3.1400","2.1500","0","0","3.9900",""
"734848","YuGiOh","2011 Collectors Tins","Ehren, Lightsworn Monk","","CT08-EN016","Super Rare","Near Mint Limited","1.29","","1.7900","0.8000","0","0","0.4900",""
"734314","YuGiOh","2011 Collectors Tins","Elemental HERO Gaia","","CT08-EN011","Super Rare","Near Mint Limited","6.70","7.50","6.7900","5.8000","1","0","8.2400",""
"734845","YuGiOh","2011 Collectors Tins","Fossil Dyna Pachycephalo","","CT08-EN012","Super Rare","Near Mint Limited","2.64","","3.3200","2.3300","0","0","2.9900",""
"734841","YuGiOh","2011 Collectors Tins","Galaxy-Eyes Photon Dragon","","CT08-EN003","Secret Rare","Near Mint Limited","7.00","","6.9900","6.0000","0","0","6.9900",""
