,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
2533,1098840,YuGiOh,Battle Pack 2: War of the Giants,Ultimate Tyranno,0,BP02-EN045,Rare,Near Mint 1st Edition,0.23,0.0,1.09,0.1,1,0,0.74,0
2534,1101194,YuGiOh,Battle Pack 2: War of the Giants,Vylon Prism,0,BP02-EN108,Common,Near Mint Unlimited,0.19,0.0,1.16,0.17,4,0,0.99,0
2535,1100666,YuGiOh,Battle Pack 2: War of the Giants,Vylon Prism,0,BP02-EN108,Common,Near Mint 1st Edition,0.15,0.0,1.04,0.05,4,0,0.74,0
2536,1102011,YuGiOh,Battle Pack 2: War of the Giants,Vylon Prism (Mosaic Rare),0,BP02-EN108,Mosaic Rare,Near Mint 1st Edition,0.28,0.0,1.19,0.2,3,0,0.99,0
2540,1101173,YuGiOh,Battle Pack 2: War of the Giants,White Night Dragon,0,BP02-EN083,Rare,Near Mint Unlimited,0.75,0.0,1.47,0.48,2,0,1.24,0
2541,1100561,YuGiOh,Battle Pack 2: War of the Giants,White Night Dragon,0,BP02-EN083,Rare,Near Mint 1st Edition,0.35,0.0,1.2,0.21,6,0,0.99,0
2545,1165001,YuGiOh,Battle Pack 2: War of the Giants – Round 2,Conscription,0,BPW2-EN085,Common,Near Mint 1st Edition,0.0,0.0,1.24,0.25,2,0,0.99,0
2551,1164831,YuGiOh,Battle Pack 2: War of the Giants – Round 2,Evilswarm Mandragora,0,BPW2-EN051,Common,Near Mint 1st Edition,0.4,0.0,1.35,0.36,6,0,0.99,0
2552,1164756,YuGiOh,Battle Pack 2: War of the Giants – Round 2,Fabled Soulkius,0,BPW2-EN036,Super Rare,Near Mint 1st Edition,0.47,0.0,1.42,0.43,4,0,1.24,0
2554,1164891,YuGiOh,Battle Pack 2: War of the Giants – Round 2,Gentlemander,0,BPW2-EN063,Common,Near Mint 1st Edition,0.33,0.0,1.21,0.22,1,0,0.99,0
2570,1244521,YuGiOh,Battle Pack 3: Monster League,Blue Thunder T-45,0,BP03-EN039,Rare,Near Mint 1st Edition,0.21,0.0,1.09,0.1,1,0,0.74,0
2575,1245126,YuGiOh,Battle Pack 3: Monster League,Breaker the Magical Warrior,0,BP03-EN005,Rare,Near Mint 1st Edition,0.62,0.0,1.19,0.2,4,0,0.99,0
2579,1244876,YuGiOh,Battle Pack 3: Monster League,Call of the Haunted,0,BP03-EN187,Common,Near Mint 1st Edition,0.28,0.0,1.21,0.22,20,0,0.99,0
2580,1246291,YuGiOh,Battle Pack 3: Monster League,Call of the Haunted (Shatterfoil),0,BP03-EN187,Shatterfoil Rare,Near Mint 1st Edition,0.45,0.0,1.22,0.23,11,0,0.99,0
2581,1246081,YuGiOh,Battle Pack 3: Monster League,Call of the Mummy (Shatterfoil),0,BP03-EN146,Shatterfoil Rare,Near Mint 1st Edition,0.33,0.0,1.19,0.2,1,0,0.99,0
2582,1244886,YuGiOh,Battle Pack 3: Monster League,Card Advance,0,BP03-EN185,Common,Near Mint 1st Edition,0.31,0.0,1.16,0.17,2,0,1.49,0
2583,1244666,YuGiOh,Battle Pack 3: Monster League,Card Guard,0,BP03-EN065,Rare,Near Mint 1st Edition,0.1,0.0,1.09,0.1,1,0,0.74,0
2584,1245561,YuGiOh,Battle Pack 3: Monster League,Card Guard (Shatterfoil),0,BP03-EN065,Shatterfoil Rare,Near Mint 1st Edition,0.21,0.0,1.07,0.08,2,0,0.74,0
2585,1244386,YuGiOh,Battle Pack 3: Monster League,Card Trooper,0,BP03-EN026,Rare,Near Mint 1st Edition,0.2,0.0,1.09,0.1,15,0,0.74,0
2586,1245266,YuGiOh,Battle Pack 3: Monster League,Card Trooper (Shatterfoil),0,BP03-EN026,Shatterfoil Rare,Near Mint 1st Edition,0.3,0.0,1.14,0.15,11,0,0.99,0
2587,1244801,YuGiOh,Battle Pack 3: Monster League,Chain Dog,0,BP03-EN080,Common,Near Mint 1st Edition,0.21,0.0,1.09,0.1,19,0,0.74,0
2591,1245816,YuGiOh,Battle Pack 3: Monster League,Creature Swap,0,BP03-EN144,Common,Near Mint 1st Edition,0.34,0.0,1.23,0.24,16,0,0.99,0
2593,1244746,YuGiOh,Battle Pack 3: Monster League,Curse of Anubis,0,BP03-EN199,Common,Near Mint 1st Edition,0.18,0.0,1.17,0.18,9,0,0.99,0
2594,1246351,YuGiOh,Battle Pack 3: Monster League,Curse of Anubis (Shatterfoil),0,BP03-EN199,Shatterfoil Rare,Near Mint 1st Edition,0.21,0.0,1.18,0.19,7,0,0.99,0
2597,1244606,YuGiOh,Battle Pack 3: Monster League,"Defender, The Magical Knight",0,BP03-EN054,Common,Near Mint 1st Edition,0.55,0.0,1.23,0.24,3,0,0.99,0
2601,1244836,YuGiOh,Battle Pack 3: Monster League,Dodger Dragon,0,BP03-EN085,Rare,Near Mint 1st Edition,0.42,0.0,1.21,0.22,1,0,0.99,0
2603,1245726,YuGiOh,Battle Pack 3: Monster League,Enemy Controller,0,BP03-EN149,Common,Near Mint 1st Edition,0.41,0.0,1.4,0.41,18,0,1.24,0
2606,1244451,YuGiOh,Battle Pack 3: Monster League,Evil HERO Infernal Gainer,0,BP03-EN032,Common,Near Mint 1st Edition,0.31,0.0,1.09,0.1,1,0,0.74,0
2608,3331192,YuGiOh,Battle Pack 3: Monster League,Evilswarm Thunderbird,0,BP03-EN104,Common,Near Mint 1st Edition,0.4,0.0,1.2,0.21,19,0,0.99,0
2609,3331127,YuGiOh,Battle Pack 3: Monster League,Evilswarm Thunderbird (Shatterfoil),0,BP03-EN104,Shatterfoil Rare,Near Mint 1st Edition,0.27,0.0,1.21,0.22,7,0,0.99,0
2612,1245756,YuGiOh,Battle Pack 3: Monster League,Fairy Cheer Girl (Shatterfoil),0,BP03-EN129,Shatterfoil Rare,Near Mint 1st Edition,1.17,0.0,1.49,0.5,3,0,1.24,0
2613,1245051,YuGiOh,Battle Pack 3: Monster League,Forbidden Chalice,0,BP03-EN164,Common,Near Mint 1st Edition,0.68,0.0,1.56,0.57,2,0,1.24,0
2615,1244956,YuGiOh,Battle Pack 3: Monster League,Forbidden Dress,0,BP03-EN180,Common,Near Mint 1st Edition,0.24,0.0,1.13,0.14,24,0,0.99,0
2619,1244891,YuGiOh,Battle Pack 3: Monster League,Forbidden Scripture,0,BP03-EN184,Common,Near Mint 1st Edition,0.23,0.0,1.16,0.16,22,0,0.99,0
2620,1246271,YuGiOh,Battle Pack 3: Monster League,Forbidden Scripture (Shatterfoil),0,BP03-EN184,Shatterfoil Rare,Near Mint 1st Edition,0.34,0.0,1.17,0.18,3,0,0.99,0
2621,1244391,YuGiOh,Battle Pack 3: Monster League,"Freya, Spirit of Victory",0,BP03-EN027,Common,Near Mint 1st Edition,0.45,0.0,1.27,0.28,1,0,0.99,0
2624,1245121,YuGiOh,Battle Pack 3: Monster League,Gentlemander,0,BP03-EN106,Common,Near Mint 1st Edition,0.22,0.0,1.13,0.14,7,0,0.99,0
2625,1245956,YuGiOh,Battle Pack 3: Monster League,Gentlemander (Shatterfoil),0,BP03-EN106,Shatterfoil Rare,Near Mint 1st Edition,0.29,0.0,1.13,0.14,6,0,0.99,0
2627,1245221,YuGiOh,Battle Pack 3: Monster League,Ghostrick Jackfrost,0,BP03-EN111,Common,Near Mint 1st Edition,0.27,0.0,1.11,0.12,4,0,0.74,0
2629,1244216,YuGiOh,Battle Pack 3: Monster League,Ghosts From the Past,0,BP03-EN233,Common,Near Mint 1st Edition,0.13,0.0,1.09,0.1,4,0,0.74,0
2630,1244221,YuGiOh,Battle Pack 3: Monster League,Ghosts From the Past (Shatterfoil),0,BP03-EN233,Shatterfoil Rare,Near Mint 1st Edition,0.21,0.0,1.14,0.15,2,0,0.99,0
2632,1244526,YuGiOh,Battle Pack 3: Monster League,Golden Flying Fish,0,BP03-EN040,Rare,Near Mint 1st Edition,0.24,0.0,1.06,0.07,5,0,0.74,0
2633,1245371,YuGiOh,Battle Pack 3: Monster League,Golden Flying Fish (Shatterfoil),0,BP03-EN040,Shatterfoil Rare,Near Mint 1st Edition,0.16,0.0,1.13,0.14,3,0,0.99,0
2634,1245491,YuGiOh,Battle Pack 3: Monster League,Grenosaurus (Shatterfoil),0,BP03-EN116,Shatterfoil Rare,Near Mint 1st Edition,0.36,0.0,1.19,0.2,2,0,0.99,0
2644,1244226,YuGiOh,Battle Pack 3: Monster League,Inspiration,0,BP03-EN232,Common,Near Mint 1st Edition,0.14,0.0,1.09,0.1,8,0,0.74,0
2645,1244231,YuGiOh,Battle Pack 3: Monster League,Inspiration (Shatterfoil),0,BP03-EN232,Shatterfoil Rare,Near Mint 1st Edition,0.15,0.0,1.18,0.19,5,0,0.99,0
2646,1244536,YuGiOh,Battle Pack 3: Monster League,"Jain, Lightsworn Paladin",0,BP03-EN042,Rare,Near Mint 1st Edition,0.25,0.0,1.12,0.13,14,0,0.74,0
2647,1245386,YuGiOh,Battle Pack 3: Monster League,"Jain, Lightsworn Paladin (Shatterfoil)",0,BP03-EN042,Shatterfoil Rare,Near Mint 1st Edition,0.38,0.0,1.17,0.18,2,0,0.99,0
2648,1244631,YuGiOh,Battle Pack 3: Monster League,Koa'ki Meiru Doom,0,BP03-EN058,Rare,Near Mint 1st Edition,0.21,0.0,1.04,0.05,14,0,0.74,0
2650,1244626,YuGiOh,Battle Pack 3: Monster League,Koa'ki Meiru Drago,0,BP03-EN057,Rare,Near Mint 1st Edition,0.46,0.0,1.29,0.3,33,0,0.99,0
2651,1245486,YuGiOh,Battle Pack 3: Monster League,Koa'ki Meiru Drago (Shatterfoil),0,BP03-EN057,Shatterfoil Rare,Near Mint 1st Edition,0.41,0.0,1.24,0.25,1,0,0.99,0
2654,1244731,YuGiOh,Battle Pack 3: Monster League,Koa'ki Meiru Sandman,0,BP03-EN072,Rare,Near Mint 1st Edition,0.23,0.0,1.08,0.09,9,0,0.74,0
2655,1245631,YuGiOh,Battle Pack 3: Monster League,Koa'ki Meiru Sandman (Shatterfoil),0,BP03-EN072,Shatterfoil Rare,Near Mint 1st Edition,0.22,0.0,1.16,0.17,1,0,0.99,0
2656,1244806,YuGiOh,Battle Pack 3: Monster League,Koa'ki Meiru Wall,0,BP03-EN081,Rare,Near Mint 1st Edition,0.3,0.0,1.08,0.09,8,0,0.74,0
2661,1244726,YuGiOh,Battle Pack 3: Monster League,Magical Arm Shield,0,BP03-EN201,Common,Near Mint 1st Edition,0.22,0.0,1.15,0.16,1,0,0.99,0
2662,1244546,YuGiOh,Battle Pack 3: Monster League,Magical Exemplar,0,BP03-EN044,Rare,Near Mint 1st Edition,0.22,0.0,1.06,0.07,14,0,0.74,0
2664,1245951,YuGiOh,Battle Pack 3: Monster League,Magical Undertaker (Shatterfoil),0,BP03-EN105,Shatterfoil Rare,Near Mint 1st Edition,0.51,0.0,1.18,0.19,1,0,0.99,0
2665,1245621,YuGiOh,Battle Pack 3: Monster League,Magicians Unite,0,BP03-EN152,Common,Near Mint 1st Edition,0.33,0.0,1.14,0.15,4,0,0.99,0
2666,1245071,YuGiOh,Battle Pack 3: Monster League,Mark of the Rose,0,BP03-EN160,Common,Near Mint 1st Edition,0.21,0.0,1.16,0.16,16,0,0.99,0
2667,1246151,YuGiOh,Battle Pack 3: Monster League,Mark of the Rose (Shatterfoil),0,BP03-EN160,Shatterfoil Rare,Near Mint 1st Edition,0.57,0.0,1.19,0.2,3,0,0.99,0
2668,1246001,YuGiOh,Battle Pack 3: Monster League,Master Craftsman Gamil,0,BP03-EN115,Common,Near Mint 1st Edition,0.14,0.0,1.05,0.06,2,0,0.74,0
2669,1246011,YuGiOh,Battle Pack 3: Monster League,Master Craftsman Gamil (Shatterfoil),0,BP03-EN115,Shatterfoil Rare,Near Mint 1st Edition,0.1,0.0,1.1,0.11,1,0,0.74,0
2672,1244516,YuGiOh,Battle Pack 3: Monster League,Mind Over Matter,0,BP03-EN209,Common,Near Mint 1st Edition,0.38,0.0,1.22,0.23,5,0,0.99,0
2674,1245061,YuGiOh,Battle Pack 3: Monster League,Miracle Fertilizer,0,BP03-EN162,Common,Near Mint 1st Edition,0.21,0.0,1.13,0.14,7,0,0.99,0
2675,1246161,YuGiOh,Battle Pack 3: Monster League,Miracle Fertilizer (Shatterfoil),0,BP03-EN162,Shatterfoil Rare,Near Mint 1st Edition,0.41,0.0,1.31,0.31,1,0,0.99,0
2676,1244421,YuGiOh,Battle Pack 3: Monster League,Miracle's Wake,0,BP03-EN220,Common,Near Mint 1st Edition,0.18,0.0,1.08,0.09,1,0,0.74,0
2677,1246456,YuGiOh,Battle Pack 3: Monster League,Miracle's Wake (Shatterfoil),0,BP03-EN220,Shatterfoil Rare,Near Mint 1st Edition,0.24,0.0,1.16,0.17,3,0,0.99,0
2680,3331097,YuGiOh,Battle Pack 3: Monster League,Mist Valley Falcon,0,BP03-EN074,Rare,Near Mint 1st Edition,0.26,0.0,1.04,0.05,11,0,0.74,0
2681,3331102,YuGiOh,Battle Pack 3: Monster League,Mist Valley Falcon (Shatterfoil),0,BP03-EN074,Shatterfoil Rare,Near Mint 1st Edition,0.25,0.0,1.09,0.1,3,0,0.74,0
2683,1244976,YuGiOh,Battle Pack 3: Monster League,Night Beam,0,BP03-EN176,Common,Near Mint 1st Edition,0.28,0.0,1.17,0.18,27,0,0.99,0
2685,1244946,YuGiOh,Battle Pack 3: Monster League,Noble Arms - Arfeudutyr,0,BP03-EN181,Common,Near Mint 1st Edition,0.34,0.0,1.19,0.2,8,0,0.99,0
2686,1246256,YuGiOh,Battle Pack 3: Monster League,Noble Arms - Arfeudutyr (Shatterfoil),0,BP03-EN181,Shatterfoil Rare,Near Mint 1st Edition,0.44,0.0,1.19,0.2,1,0,0.99,0
2688,1246261,YuGiOh,Battle Pack 3: Monster League,Noble Arms - Caliburn (Shatterfoil),0,BP03-EN182,Shatterfoil Rare,Near Mint 1st Edition,0.32,0.0,1.18,0.19,4,0,0.99,0
2690,1245556,YuGiOh,Battle Pack 3: Monster League,Number 20: Giga-Brilliant (Shatterfoil),0,BP03-EN119,Shatterfoil Rare,Near Mint 1st Edition,0.85,0.0,1.74,0.75,1,0,1.49,0
2694,1246496,YuGiOh,Battle Pack 3: Monster League,Pinpoint Guard (Shatterfoil),0,BP03-EN228,Shatterfoil Rare,Near Mint 1st Edition,0.27,0.0,1.19,0.2,3,0,0.99,0
2696,1245851,YuGiOh,Battle Pack 3: Monster League,Premature Burial,0,BP03-EN136,Common,Near Mint 1st Edition,0.45,0.0,1.36,0.37,14,0,0.99,0
2698,1245066,YuGiOh,Battle Pack 3: Monster League,Psychokinesis,0,BP03-EN161,Common,Near Mint 1st Edition,0.2,0.0,1.09,0.1,1,0,0.74,0
2699,1246156,YuGiOh,Battle Pack 3: Monster League,Psychokinesis (Shatterfoil),0,BP03-EN161,Shatterfoil Rare,Near Mint 1st Edition,0.24,0.0,1.16,0.17,1,0,0.99,0
2700,1244145,YuGiOh,Battle Pack 3: Monster League,Quantum Cat,0,BP03-EN237,Common,Near Mint 1st Edition,0.2,0.0,1.09,0.1,12,0,0.74,0
2709,1244511,YuGiOh,Battle Pack 3: Monster League,Sea Koala,0,BP03-EN038,Common,Near Mint 1st Edition,0.32,0.0,1.19,0.2,1,0,0.99,0
2710,1244596,YuGiOh,Battle Pack 3: Monster League,Seed of Flame,0,BP03-EN052,Common,Near Mint 1st Edition,0.21,0.0,1.14,0.15,1,0,0.99,0
2711,1244701,YuGiOh,Battle Pack 3: Monster League,Shutendoji,0,BP03-EN069,Common,Near Mint 1st Edition,0.3,0.0,1.19,0.2,13,0,0.99,0
2712,1245596,YuGiOh,Battle Pack 3: Monster League,Shutendoji (Shatterfoil),0,BP03-EN069,Shatterfoil Rare,Near Mint 1st Edition,0.14,0.0,1.11,0.12,4,0,0.74,0
2713,1244826,YuGiOh,Battle Pack 3: Monster League,Silent Psychic Wizard,0,BP03-EN084,Rare,Near Mint 1st Edition,0.18,0.0,1.09,0.1,14,0,0.74,0
2714,1245721,YuGiOh,Battle Pack 3: Monster League,Silent Psychic Wizard (Shatterfoil),0,BP03-EN084,Shatterfoil Rare,Near Mint 1st Edition,0.22,0.0,1.12,0.13,7,0,0.74,0
2715,1244971,YuGiOh,Battle Pack 3: Monster League,Spellbook of Wisdom,0,BP03-EN177,Common,Near Mint 1st Edition,0.3,0.0,1.21,0.22,27,0,0.99,0
2717,1245996,YuGiOh,Battle Pack 3: Monster League,Stegocyber,0,BP03-EN114,Common,Near Mint 1st Edition,0.22,0.0,1.09,0.1,8,0,0.74,0
2718,1246006,YuGiOh,Battle Pack 3: Monster League,Stegocyber (Shatterfoil),0,BP03-EN114,Shatterfoil Rare,Near Mint 1st Edition,0.55,0.0,1.17,0.18,1,0,0.99,0
2719,1244791,YuGiOh,Battle Pack 3: Monster League,Stygian Street Patrol,0,BP03-EN078,Common,Near Mint 1st Edition,0.16,0.0,1.07,0.08,24,0,0.74,0
2720,1245686,YuGiOh,Battle Pack 3: Monster League,Stygian Street Patrol (Shatterfoil),0,BP03-EN078,Shatterfoil Rare,Near Mint 1st Edition,0.3,0.0,1.24,0.25,4,0,0.99,0
2721,1244150,YuGiOh,Battle Pack 3: Monster League,Swamp Mirrorer,0,BP03-EN236,Common,Near Mint 1st Edition,0.3,0.0,1.12,0.13,6,0,0.74,0
2728,1244951,YuGiOh,Battle Pack 3: Monster League,Tardy Orc,0,BP03-EN096,Rare,Near Mint 1st Edition,0.19,0.0,1.08,0.09,7,0,0.74,0
2729,1245886,YuGiOh,Battle Pack 3: Monster League,Tardy Orc (Shatterfoil),0,BP03-EN096,Shatterfoil Rare,Near Mint 1st Edition,0.28,0.0,1.12,0.13,2,0,0.74,0
2730,1245336,YuGiOh,Battle Pack 3: Monster League,The Immortal Bushi (Shatterfoil),0,BP03-EN036,Shatterfoil Rare,Near Mint 1st Edition,0.38,0.0,1.18,0.19,1,0,0.99,0
2731,1245896,YuGiOh,Battle Pack 3: Monster League,The Warrior Returning Alive,0,BP03-EN140,Common,Near Mint 1st Edition,0.15,0.0,1.13,0.14,3,0,0.99,0
2733,1244896,YuGiOh,Battle Pack 3: Monster League,Time Escaper,0,BP03-EN088,Common,Near Mint 1st Edition,0.18,0.0,1.11,0.12,2,0,0.74,0
2734,1245776,YuGiOh,Battle Pack 3: Monster League,Time Escaper (Shatterfoil),0,BP03-EN088,Shatterfoil Rare,Near Mint 1st Edition,0.32,0.0,1.19,0.2,2,0,0.99,0
2735,1245736,YuGiOh,Battle Pack 3: Monster League,Tin Archduke (Shatterfoil),0,BP03-EN128,Shatterfoil Rare,Near Mint 1st Edition,0.0,0.0,1.19,0.2,2,0,0.99,0
2736,1244125,YuGiOh,Battle Pack 3: Monster League,Toon Gemini Elf,0,BP03-EN014,Rare,Near Mint 1st Edition,0.57,0.0,1.39,0.4,9,0,1.24,0
2738,1244160,YuGiOh,Battle Pack 3: Monster League,Typhoon,0,BP03-EN235,Common,Near Mint 1st Edition,0.52,0.0,1.24,0.25,7,0,0.99,0
2740,1244177,YuGiOh,Battle Pack 3: Monster League,Unbreakable Spirit,0,BP03-EN234,Common,Near Mint 1st Edition,0.19,0.0,1.13,0.14,7,0,0.99,0
2741,1244211,YuGiOh,Battle Pack 3: Monster League,Unbreakable Spirit (Shatterfoil),0,BP03-EN234,Shatterfoil Rare,Near Mint 1st Edition,0.34,0.0,1.19,0.2,3,0,0.99,0
2742,1246136,YuGiOh,Battle Pack 3: Monster League,Unstable Evolution (Shatterfoil),0,BP03-EN157,Shatterfoil Rare,Near Mint 1st Edition,0.21,0.0,1.04,0.05,2,0,0.74,0
2743,1245551,YuGiOh,Battle Pack 3: Monster League,"Valhalla, Hall of the Fallen",0,BP03-EN154,Common,Near Mint 1st Edition,0.52,0.0,1.36,0.37,1,0,0.99,0
2746,1244846,YuGiOh,Battle Pack 3: Monster League,Wind-Up Juggler,0,BP03-EN086,Rare,Near Mint 1st Edition,0.18,0.0,1.13,0.13,9,0,0.99,0
2747,1245751,YuGiOh,Battle Pack 3: Monster League,Wind-Up Juggler (Shatterfoil),0,BP03-EN086,Shatterfoil Rare,Near Mint 1st Edition,0.22,0.0,1.16,0.17,6,0,0.99,0
2748,1245001,YuGiOh,Battle Pack 3: Monster League,Wonder Wand,0,BP03-EN173,Common,Near Mint 1st Edition,0.48,0.0,1.26,0.27,8,0,0.99,0
2749,1246216,YuGiOh,Battle Pack 3: Monster League,Wonder Wand (Shatterfoil),0,BP03-EN173,Shatterfoil Rare,Near Mint 1st Edition,0.48,0.0,1.17,0.18,1,0,0.99,0
2753,3892090,YuGiOh,Battle Pack Tournament Prize Cards,Gravekeeper's Descendant (Starfoil),0,BATT-EN010,Starfoil Rare,Near Mint Limited,21.24,0.0,24.99,24.99,2,0,47.99,0
2754,3892060,YuGiOh,Battle Pack Tournament Prize Cards,Icarus Attack (Starfoil),0,BATT-EN004,Starfoil Rare,Near Mint Limited,13.72,0.0,11.78,11.78,3,0,19.99,0
2761,876848,YuGiOh,Battle Pack: Epic Dawn,Airknight Parshath,0,BP01-EN124,Common,Near Mint 1st Edition,0.54,0.0,1.39,0.4,26,0,1.24,0
2763,1116407,YuGiOh,Battle Pack: Epic Dawn,Airknight Parshath (Starfoil),0,BP01-EN124,Starfoil Rare,Near Mint 1st Edition,0.89,0.0,1.64,0.65,1,0,1.49,0
2764,876870,YuGiOh,Battle Pack: Epic Dawn,"Alector, Sovereign of Birds",0,BP01-EN153,Common,Near Mint 1st Edition,0.59,0.0,1.44,0.45,2,0,1.24,0
2765,1116436,YuGiOh,Battle Pack: Epic Dawn,"Alector, Sovereign of Birds (Starfoil)",0,BP01-EN153,Starfoil Rare,Near Mint 1st Edition,0.57,0.0,1.57,0.58,3,0,1.24,0
2769,876955,YuGiOh,Battle Pack: Epic Dawn,Ante,0,BP01-EN074,Common,Near Mint 1st Edition,0.44,0.0,1.19,0.2,1,0,0.99,0
2770,1116357,YuGiOh,Battle Pack: Epic Dawn,Ante (Starfoil),0,BP01-EN074,Starfoil Rare,Near Mint 1st Edition,0.34,0.0,1.18,0.19,1,0,0.99,0
2771,876968,YuGiOh,Battle Pack: Epic Dawn,Arcana Force XIV - Temperance,0,BP01-EN151,Common,Near Mint 1st Edition,0.31,0.0,1.2,0.2,6,0,0.99,0
2776,876464,YuGiOh,Battle Pack: Epic Dawn,Autonomous Action Unit,0,BP01-EN073,Common,Near Mint Unlimited,0.0,0.0,1.29,0.3,1,0,0.99,0
2777,876904,YuGiOh,Battle Pack: Epic Dawn,Autonomous Action Unit,0,BP01-EN073,Common,Near Mint 1st Edition,0.53,0.0,1.23,0.24,4,0,0.99,0
2778,1116356,YuGiOh,Battle Pack: Epic Dawn,Autonomous Action Unit (Starfoil),0,BP01-EN073,Starfoil Rare,Near Mint 1st Edition,0.56,0.0,1.39,0.4,3,0,1.24,0
2782,876479,YuGiOh,Battle Pack: Epic Dawn,Beast King Barbaros,0,BP01-EN148,Common,Near Mint Unlimited,0.0,0.0,1.09,0.1,2,0,0.74,0
2783,876919,YuGiOh,Battle Pack: Epic Dawn,Beast King Barbaros,0,BP01-EN148,Common,Near Mint 1st Edition,0.23,0.0,1.08,0.09,11,0,0.74,0
2785,1116431,YuGiOh,Battle Pack: Epic Dawn,Beast King Barbaros (Starfoil),0,BP01-EN148,Starfoil Rare,Near Mint 1st Edition,0.25,0.0,1.19,0.2,8,0,0.99,0
2787,876896,YuGiOh,Battle Pack: Epic Dawn,Big Shield Gardna,0,BP01-EN176,Common,Near Mint 1st Edition,0.2,0.0,1.13,0.13,3,0,0.99,0
2789,876374,YuGiOh,Battle Pack: Epic Dawn,Blackwing - Zephyros the Elite,0,BP01-EN215,Common,Near Mint Unlimited,0.44,0.0,1.48,0.49,4,0,1.24,0
2790,876814,YuGiOh,Battle Pack: Epic Dawn,Blackwing - Zephyros the Elite,0,BP01-EN215,Common,Near Mint 1st Edition,0.32,0.0,1.27,0.28,29,0,0.99,0
2792,1116498,YuGiOh,Battle Pack: Epic Dawn,Blackwing - Zephyros the Elite (Starfoil),0,BP01-EN215,Starfoil Rare,Near Mint 1st Edition,1.68,0.0,2.22,1.23,1,0,1.9900000000000002,0
2794,1116430,YuGiOh,Battle Pack: Epic Dawn,Blizzard Dragon (Starfoil),0,BP01-EN147,Starfoil Rare,Near Mint 1st Edition,0.5,0.0,1.48,0.49,1,0,1.24,0
2801,876853,YuGiOh,Battle Pack: Epic Dawn,Breaker the Magical Warrior,0,BP01-EN061,Common,Near Mint 1st Edition,0.59,0.0,1.39,0.39,4,0,1.24,0
2804,876916,YuGiOh,Battle Pack: Epic Dawn,Burden of the Mighty,0,BP01-EN045,Rare,Near Mint 1st Edition,0.41,0.0,1.16,0.17,10,0,0.99,0
2807,876979,YuGiOh,Battle Pack: Epic Dawn,Buster Blader,0,BP01-EN117,Common,Near Mint 1st Edition,0.3,0.0,1.24,0.25,26,0,0.99,0
2814,876830,YuGiOh,Battle Pack: Epic Dawn,Call of the Haunted,0,BP01-EN049,Rare,Near Mint 1st Edition,0.53,0.0,1.24,0.25,29,0,0.99,0
2817,876899,YuGiOh,Battle Pack: Epic Dawn,Card Guard,0,BP01-EN162,Common,Near Mint 1st Edition,0.24,0.0,1.14,0.15,3,0,0.99,0
2818,1116445,YuGiOh,Battle Pack: Epic Dawn,Card Guard (Starfoil),0,BP01-EN162,Starfoil Rare,Near Mint 1st Edition,0.49,0.0,1.23,0.24,1,0,0.99,0
2819,876556,YuGiOh,Battle Pack: Epic Dawn,Card Trooper,0,BP01-EN143,Common,Near Mint Unlimited,0.23,0.0,1.22,0.23,3,0,0.99,0
2820,876996,YuGiOh,Battle Pack: Epic Dawn,Card Trooper,0,BP01-EN143,Common,Near Mint 1st Edition,0.32,0.0,1.19,0.2,15,0,0.99,0
2821,1115986,YuGiOh,Battle Pack: Epic Dawn,Card Trooper (Starfoil),0,BP01-EN143,Starfoil Rare,Near Mint Unlimited,0.0,0.0,1.1,0.11,1,0,0.74,0
2822,1116426,YuGiOh,Battle Pack: Epic Dawn,Card Trooper (Starfoil),0,BP01-EN143,Starfoil Rare,Near Mint 1st Edition,0.28,0.0,1.17,0.18,11,0,0.99,0
2829,876882,YuGiOh,Battle Pack: Epic Dawn,Cloudian - Poison Cloud,0,BP01-EN193,Common,Near Mint 1st Edition,0.29,0.0,1.13,0.14,1,0,0.99,0
2836,876812,YuGiOh,Battle Pack: Epic Dawn,Cyber Dragon,0,BP01-EN138,Common,Near Mint 1st Edition,0.3,0.0,1.23,0.24,26,0,0.99,0
2842,876517,YuGiOh,Battle Pack: Epic Dawn,Cyber Valley,0,BP01-EN197,Common,Near Mint Unlimited,0.25,0.0,1.19,0.2,1,0,0.99,0
2843,876957,YuGiOh,Battle Pack: Epic Dawn,Cyber Valley,0,BP01-EN197,Common,Near Mint 1st Edition,0.33,0.0,1.18,0.19,21,0,0.99,0
2858,1116300,YuGiOh,Battle Pack: Epic Dawn,Deep Diver (Starfoil),0,BP01-EN017,Starfoil Rare,Near Mint 1st Edition,0.47,0.0,1.38,0.39,1,0,1.24,0
2862,1116477,YuGiOh,Battle Pack: Epic Dawn,Des Mosquito (Starfoil),0,BP01-EN194,Starfoil Rare,Near Mint 1st Edition,0.5,0.0,1.14,0.15,2,0,0.99,0
2867,876406,YuGiOh,Battle Pack: Epic Dawn,Doomcaliber Knight,0,BP01-EN141,Common,Near Mint Unlimited,0.47,0.0,1.24,0.25,6,0,0.99,0
2868,876846,YuGiOh,Battle Pack: Epic Dawn,Doomcaliber Knight,0,BP01-EN141,Common,Near Mint 1st Edition,0.29,0.0,1.19,0.2,28,0,0.99,0
